scenario,day,class,emissions_kgCO2,co2_per_unit,litres,trips
B,35,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,36,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,37,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,38,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,39,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,40,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,41,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,42,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,43,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,44,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,45,truck,4883.910000000001,2.63,1857.0000000000005,0.06190000000000002
B,1,tank,15849.0375,2.63,6026.25,0.200875
B,2,tank,15849.0375,2.63,6026.25,0.200875
B,3,tank,15849.0375,2.63,6026.25,0.200875
B,4,tank,15849.0375,2.63,6026.25,0.200875
B,5,tank,15849.0375,2.63,6026.25,0.200875
B,6,tank,15849.0375,2.63,6026.25,0.200875
B,7,tank,15849.0375,2.63,6026.25,0.200875
B,8,tank,15849.0375,2.63,6026.25,0.200875
B,9,tank,15849.0375,2.63,6026.25,0.200875
B,10,tank,15849.0375,2.63,6026.25,0.200875
B,11,tank,15849.0375,2.63,6026.25,0.200875
B,12,tank,15849.0375,2.63,6026.25,0.200875
B,13,tank,15849.0375,2.63,6026.25,0.200875
B,14,tank,15849.0375,2.63,6026.25,0.200875
B,15,tank,15849.0375,2.63,6026.25,0.200875
B,16,tank,15849.0375,2.63,6026.25,0.200875
B,17,tank,15849.0375,2.63,6026.25,0.200875
B,18,tank,15849.0375,2.63,6026.25,0.200875
B,19,tank,15849.0375,2.63,6026.25,0.200875
B,20,tank,15849.0375,2.63,6026.25,0.200875
B,21,tank,15849.0375,2.63,6026.25,0.200875
B,22,tank,15849.0375,2.63,6026.25,0.200875
B,23,tank,15849.0375,2.63,6026.25,0.200875
B,24,tank,15849.0375,2.63,6026.25,0.200875
B,25,tank,15849.0375,2.63,6026.25,0.200875
B,26,tank,15849.0375,2.63,6026.25,0.200875
B,27,tank,15849.0375,2.63,6026.25,0.200875
B,28,tank,15849.0375,2.63,6026.25,0.200875
B,29,tank,15849.0375,2.63,6026.25,0.200875
B,30,tank,15849.0375,2.63,6026.25,0.200875
B,31,tank,15849.0375,2.63,6026.25,0.200875
B,32,tank,15849.0375,2.63,6026.25,0.200875
B,33,tank,15849.0375,2.63,6026.25,0.200875
B,34,tank,15849.0375,2.63,6026.25,0.200875
B,35,tank,15849.0375,2.63,6026.25,0.200875
B,36,tank,15849.0375,2.63,6026.25,0.200875
B,37,tank,15849.0375,2.63,6026.25,0.200875
B,38,tank,15849.0375,2.63,6026.25,0.200875
B,39,tank,15849.0375,2.63,6026.25,0.200875
B,40,tank,15849.0375,2.63,6026.25,0.200875
B,41,tank,15849.0375,2.63,6026.25,0.200875
B,42,tank,15849.0375,2.63,6026.25,0.200875
B,43,tank,15849.0375,2.63,6026.25,0.200875
B,44,tank,15849.0375,2.63,6026.25,0.200875
B,45,tank,15849.0375,2.63,6026.25,0.200875
B,1,aircraft,35623.35,2.63,13545,0.4515
B,2,aircraft,35623.35,2.63,13545,0.4515
B,3,aircraft,35623.35,2.63,13545,0.4515
B,4,aircraft,35623.35,2.63,13545,0.4515
B,5,aircraft,35623.35,2.63,13545,0.4515
B,6,aircraft,35623.35,2.63,13545,0.4515
B,7,aircraft,35623.35,2.63,13545,0.4515
B,8,aircraft,35623.35,2.63,13545,0.4515
B,9,aircraft,35623.35,2.63,13545,0.4515
B,10,aircraft,35623.35,2.63,13545,0.4515
B,11,aircraft,35623.35,2.63,13545,0.4515
B,12,aircraft,35623.35,2.63,13545,0.4515
B,13,aircraft,35623.35,2.63,13545,0.4515
B,14,aircraft,35623.35,2.63,13545,0.4515
B,15,aircraft,35623.35,2.63,13545,0.4515
B,16,aircraft,35623.35,2.63,13545,0.4515
B,17,aircraft,35623.35,2.63,13545,0.4515
B,18,aircraft,35623.35,2.63,13545,0.4515
B,19,aircraft,35623.35,2.63,13545,0.4515
B,20,aircraft,35623.35,2.63,13545,0.4515
B,21,aircraft,35623.35,2.63,13545,0.4515
B,22,aircraft,35623.35,2.63,13545,0.4515
B,23,aircraft,35623.35,2.63,13545,0.4515
B,24,aircraft,35623.35,2.63,13545,0.4515
B,25,aircraft,35623.35,2.63,13545,0.4515
B,26,aircraft,35623.35,2.63,13545,0.4515
B,27,aircraft,35623.35,2.63,13545,0.4515
B,28,aircraft,35623.35,2.63,13545,0.4515
B,29,aircraft,35623.35,2.63,13545,0.4515
B,30,aircraft,35623.35,2.63,13545,0.4515
B,31,aircraft,35623.35,2.63,13545,0.4515
B,32,aircraft,35623.35,2.63,13545,0.4515
B,33,aircraft,35623.35,2.63,13545,0.4515
B,34,aircraft,35623.35,2.63,13545,0.4515
B,35,aircraft,35623.35,2.63,13545,0.4515
B,36,aircraft,35623.35,2.63,13545,0.4515
B,37,aircraft,35623.35,2.63,13545,0.4515
B,38,aircraft,35623.35,2.63,13545,0.4515
B,39,aircraft,35623.35,2.63,13545,0.4515
B,40,aircraft,35623.35,2.63,13545,0.4515
B,41,aircraft,35623.35,2.63,13545,0.4515
B,42,aircraft,35623.35,2.63,13545,0.4515
B,43,aircraft,35623.35,2.63,13545,0.4515
B,44,aircraft,35623.35,2.63,13545,0.4515
B,45,aircraft,35623.35,2.63,13545,0.4515
C,1,truck,6112.12,2.63,2324,0.07746666666666667
C,2,truck,6112.12,2.63,2324,0.07746666666666667
C,3,truck,6112.12,2.63,2324,0.07746666666666667
C,4,truck,6112.12,2.63,2324,0.07746666666666667
C,5,truck,6112.12,2.63,2324,0.07746666666666667
C,6,truck,6112.12,2.63,2324,0.07746666666666667
C,7,truck,6112.12,2.63,2324,0.07746666666666667
C,8,truck,6112.12,2.63,2324,0.07746666666666667
C,9,truck,6112.12,2.63,2324,0.07746666666666667
C,10,truck,6112.12,2.63,2324,0.07746666666666667
C,11,truck,6112.12,2.63,2324,0.07746666666666667
C,12,truck,6112.12,2.63,2324,0.07746666666666667
C,13,truck,6112.12,2.63,2324,0.07746666666666667
C,14,truck,6112.12,2.63,2324,0.07746666666666667
C,15,truck,6112.12,2.63,2324,0.07746666666666667
C,16,truck,6112.12,2.63,2324,0.07746666666666667
C,17,truck,6112.12,2.63,2324,0.07746666666666667
C,18,truck,6112.12,2.63,2324,0.07746666666666667
C,19,truck,6112.12,2.63,2324,0.07746666666666667
C,20,truck,6112.12,2.63,2324,0.07746666666666667
C,21,truck,6112.12,2.63,2324,0.07746666666666667
C,22,truck,6112.12,2.63,2324,0.07746666666666667
C,23,truck,6112.12,2.63,2324,0.07746666666666667
C,24,truck,6112.12,2.63,2324,0.07746666666666667
C,25,truck,6112.12,2.63,2324,0.07746666666666667
C,26,truck,6112.12,2.63,2324,0.07746666666666667
C,27,truck,6112.12,2.63,2324,0.07746666666666667
C,28,truck,6112.12,2.63,2324,0.07746666666666667
C,29,truck,6112.12,2.63,2324,0.07746666666666667
C,30,truck,6112.12,2.63,2324,0.07746666666666667
C,1,tank,10566.025,2.63,4017.5,0.13391666666666666
C,2,tank,10566.025,2.63,4017.5,0.13391666666666666
C,3,tank,10566.025,2.63,4017.5,0.13391666666666666
C,4,tank,10566.025,2.63,4017.5,0.13391666666666666
C,5,tank,10566.025,2.63,4017.5,0.13391666666666666
C,6,tank,10566.025,2.63,4017.5,0.13391666666666666
C,7,tank,10566.025,2.63,4017.5,0.13391666666666666
C,8,tank,10566.025,2.63,4017.5,0.13391666666666666
C,9,tank,10566.025,2.63,4017.5,0.13391666666666666
C,10,tank,10566.025,2.63,4017.5,0.13391666666666666
C,11,tank,10566.025,2.63,4017.5,0.13391666666666666
C,12,tank,10566.025,2.63,4017.5,0.13391666666666666
C,13,tank,10566.025,2.63,4017.5,0.13391666666666666
C,14,tank,10566.025,2.63,4017.5,0.13391666666666666
C,15,tank,10566.025,2.63,4017.5,0.13391666666666666
C,16,tank,10566.025,2.63,4017.5,0.13391666666666666
C,17,tank,10566.025,2.63,4017.5,0.13391666666666666
C,18,tank,10566.025,2.63,4017.5,0.13391666666666666
C,19,tank,10566.025,2.63,4017.5,0.13391666666666666
C,20,tank,10566.025,2.63,4017.5,0.13391666666666666
C,21,tank,10566.025,2.63,4017.5,0.13391666666666666
C,22,tank,10566.025,2.63,4017.5,0.13391666666666666
C,23,tank,10566.025,2.63,4017.5,0.13391666666666666
C,24,tank,10566.025,2.63,4017.5,0.13391666666666666
C,25,tank,10566.025,2.63,4017.5,0.13391666666666666
C,26,tank,10566.025,2.63,4017.5,0.13391666666666666
C,27,tank,10566.025,2.63,4017.5,0.13391666666666666
C,28,tank,10566.025,2.63,4017.5,0.13391666666666666
C,29,tank,10566.025,2.63,4017.5,0.13391666666666666
C,30,tank,10566.025,2.63,4017.5,0.13391666666666666
C,1,aircraft,11874.45,2.63,4515.000000000001,0.15050000000000002
